#chrom,start,end,Meth Dif_24mo-4mo,class_24mo_v_4mo,Gene name,name,features
chr1,71983456,71983532,0.244,strongHyper,4933417E11Rik,NR_040454,T:Other;
chr1,71999619,71999954,0.241,strongHyper,4933417E11Rik,NR_040454,T:LINE;
chr1,72229576,72229715,-0.263,strongHypo,Mreg,NM_001005423,T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1,72476043,72476094,0.186,strongHyper,04-Mar,NM_001045533,T:ExtGene;T:Gene;T:Intron;
chr1,72645865,72646645,-0.206,strongHypo,Smarcal1,NM_018817,T:ExtGene;T:Gene;T:Intron;
chr1,73235557,73235846,0.309,strongHyper,1700027A15Rik,NR_038002,T:LowComplexity;
chr1,74010209,74010591,-0.221,strongHypo,Tns1,NM_027884,T:ExtGene;T:Gene;T:Intron;
chr1,74060185,74060463,-0.255,strongHypo,Tns1,NM_027884,T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1,74309200,74309483,-0.163,strongHypo,Arpc2,NM_029711,T:ExtGene;T:Gene;T:Intron;T:SINE;
chr1,75220433,75220533,0.376,strongHyper,A630095N17Rik,NM_001243090,T:1stIntron;T:ExtGene;T:Gene;T:Intron;T:Prom;T:Prom_woCGI;T:TSSup1k;T:TSSup1k_woCGI;
chr1,75353835,75353922,-0.346,strongHypo,Des,NM_010043,T:Other;
chr1,75378220,75378302,0.157,strongHyper,Speg,NM_007463,T:CGI_shore;T:1stIntron;T:ExtGene;T:Gene;T:Intron;T:Prom;T:Prom_wiCGI;T:TSSup1k;T:TSSup1k_wiCGI;
chr1,75389782,75390035,-0.151,strongHypo,Speg,NM_001085370,T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:SINE;
chr1,75440749,75441240,0.171,strongHyper,Gmppa,NM_133708,T:ExtGene;T:TTSdn1k;T:TTSdn1k_woCGI;
chr1,75461198,75461336,0.226,strongHyper,Accn4,NM_183022,T:1stIntron;T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1,75511919,75512012,0.161,strongHyper,Inha,NM_010564,T:Other;
chr1,75585696,75586073,0.189,strongHyper,Slc4a3,NM_009208,T:Other;
chr1,75677405,75677791,0.19,strongHyper,Slc4a3,NM_009208,T:Other;
chr1,75737695,75737920,-0.15,strongHypo,Slc4a3,NM_009208,T:Other;
chr1,77020327,77020746,0.172,strongHyper,Epha4,NM_007936,T:Other;
chr1,77217085,77217506,-0.29,strongHypo,Epha4,NM_007936,T:DNA;
chr1,77278436,77278584,-0.46,strongHypo,Epha4,NM_007936,T:Other;
chr1,77632560,77632623,0.243,strongHyper,Epha4,NM_007936,T:Other;
chr1,77968790,77968940,0.158,strongHyper,Pax3,NM_001159520,T:Other;
chr1,78116849,78117013,0.156,strongHyper,Pax3,NM_001159520,T:ExtGene;T:Gene;T:Intron;
chr1,78140872,78140998,0.196,strongHyper,Pax3,NM_001159520,T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1,78145024,78145232,-0.194,strongHypo,Pax3,NM_001159520,T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1,78162357,78162409,0.151,strongHyper,Pax3,NM_001159520,T:ExtGene;T:Gene;T:Intron;
chr1,78304878,78305307,0.155,strongHyper,Sgpp2,NM_001004173,T:CGI_shore;T:SimpleRepeat;T:SINE;
chr1,78601511,78601582,-0.469,strongHypo,Utp14b,NM_001001981,T:Other;
chr1,78690446,78690623,-0.285,strongHypo,Acsl3,NM_001033606,T:ExtGene;T:Gene;T:Intron;T:SINE;
chr1,78704049,78704358,-0.186,strongHypo,Acsl3,NM_001033606,T:Exon;T:ExtGene;T:Gene;T:TpUTR;T:TpUTR_woCGI;T:TTSdn1k;T:TTSdn1k_woCGI;T:TTSup1k;
chr1,78813292,78813369,0.216,strongHyper,Kcne4,NM_021342,T:ExtGene;T:Prom;T:Prom_woCGI;T:TSSup1k;T:TSSup1k_woCGI;
chr1,79577688,79577739,-0.236,strongHypo,Ap1s3,NM_183027,T:Other;
chr1,79753637,79753987,-0.187,strongHypo,Wdfy1,NM_027057,T:1stIntron;T:ExtGene;T:Gene;T:Intron;T:DNA;
chr1,80236130,80236286,0.181,strongHyper,Fam124b,NM_173425,T:Other;
chr1,80393205,80393530,0.153,strongHyper,1700016L21Rik,NR_040460,T:SINE;
chr1,81277566,81277645,-0.248,strongHypo,9430031J16Rik,NM_172849,T:Other;
chr1,82255057,82255120,0.188,strongHyper,Irs1,NM_010570,T:1stIntron;T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:TpUTR;T:TpUTR_wiCGI;
chr1,85108272,85108364,-0.244,strongHypo,A530032D15Rik,NM_213615,T:Other;
chr1,87793711,87794400,0.202,strongHyper,Itm2c,NM_022417,T:1stIntron;T:ExtGene;T:Gene;T:Intron;T:SimpleRepeat;
chr1,88320581,88320785,0.237,strongHyper,1700019O17Rik,NM_027966,T:LTR;
chr1,88332176,88332385,-0.261,strongHypo,1700019O17Rik,NM_027966,T:CGI_shore;
chr1,88389151,88389469,0.165,strongHyper,Ptma,NM_008972,T:Other;
chr1,88423369,88423458,-0.234,strongHypo,Ptma,NM_008972,T:CGI;T:CGI_wiGene;T:CGI_wiGeneExt2k;T:CGI_wiProm;T:CGI_wiTSSup1k;T:1stExon;T:Exon;T:ExtGene;T:FpUTR;T:FpUTR_wiCGI;T:Gene;T:Prom;T:Prom_wiCGI;T:TSSdn1k;
chr1,89053497,89053720,0.171,strongHyper,Ecel1,NM_021306,T:CGI_shore;
chr1,89159789,89159909,0.223,strongHyper,Efhd1,NM_028889,T:CGI_shore;T:SINE;
chr1,89324723,89324796,0.285,strongHyper,Gigyf2,NM_001110212,T:ExtGene;T:Gene;T:Intron;T:SINE;
chr1,89504027,89504136,0.172,strongHyper,Neu2,NM_015750,T:LTR;
chr1,90101904,90101959,0.165,strongHyper,Dnajb3,NM_008299,T:CGI;T:CGI_wiGene;T:CGI_wiGeneExt2k;T:CGI_wiProm;T:CGI_wiTSSup1k;T:1stExon;T:Center30ct;T:Exon;T:ExtGene;T:Gene;T:Prom;T:Prom_wiCGI;T:TSSdn1k;
chr1,90453068,90453125,0.265,strongHyper,Gm19589,NR_037971,T:Center30ct;T:Exon;T:ExtGene;T:FpUTR;T:FpUTR_woCGI;T:Gene;
chr1,90596726,90596984,0.175,strongHyper,Arl4c,NM_177305,T:CGI_shore;T:1stExon;T:Center30ct;T:Exon;T:ExtGene;T:Gene;T:TpUTR;T:TpUTR_wiCGI;
chr1,90653776,90653859,-0.244,strongHypo,2410088K16Rik,NR_040493,T:Other;
chr1,91080352,91080483,-0.2,strongHypo,Sh3bp4,NM_133816,T:Other;
chr1,91364303,91364367,-0.227,strongHypo,Agap1,NM_001037136,T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1,91682320,91682652,0.153,strongHyper,Agap1,NM_001037136,T:ExtGene;T:Gene;T:Intron;
chr1,91827359,91827441,-0.182,strongHypo,Gbx2,NM_010262,T:CGI;T:CGI_shore;T:CGI_wiGene;T:CGI_wiGeneExt2k;T:CGI_wiProm;T:CGI_wiTSSup1k;T:1stExon;T:Exon;T:ExtGene;T:FpUTR;T:FpUTR_wiCGI;T:Gene;T:Prom;T:Prom_wiCGI;T:TSSdn1k;
chr1,91832169,91832304,0.155,strongHyper,Gbx2,NM_010262,T:Other;
chr1,91889336,91889537,0.163,strongHyper,Asb18,NM_139152,T:CGI;T:CGI_shore;T:CGI_wiGene;T:CGI_wiGeneExt2k;T:Center30ct;T:Exon;T:ExtGene;T:Gene;T:Intron;
chr1,92118783,92119025,0.158,strongHyper,Cxcr7,NM_007722,T:Other;
chr1,92740231,92740297,-0.266,strongHypo,Col6a3,NM_001243008,T:1stIntron;T:ExtGene;T:FpUTR;T:FpUTR_woCGI;T:Gene;T:Intron;T:Prom;T:Prom_woCGI;T:TSSdn1k;
chr1,92806301,92806412,-0.191,strongHypo,Mlph,NM_053015,T:Other;
chr1,92825099,92825450,0.242,strongHyper,Mlph,NM_053015,T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1,92935380,92935753,-0.259,strongHypo,Lrrfip1,NM_001111312,T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1,92964285,92964623,0.168,strongHyper,Lrrfip1,NM_001111311,T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:DNA;
chr1,92976874,92977257,0.239,strongHyper,Lrrfip1,NM_001111311,T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1,92980997,92981077,0.16,strongHyper,Lrrfip1,NM_001111311,T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1,93196475,93196540,-0.231,strongHypo,Scly,NM_016717,T:CGI_shore;T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1,93356933,93357007,-0.213,strongHypo,Per2,NM_011066,T:CGI_shore;
chr1,93434844,93435050,0.206,strongHyper,Asb1,NM_001039126,T:CGI_shore;T:LTR;T:SimpleRepeat;T:SINE;
chr1,93469231,93469289,0.221,strongHyper,Asb1,NM_023046,T:LTR;
chr1,94596412,94596628,0.18,strongHyper,Otos,NM_153114,T:Other;
chr1,94770551,94770602,0.203,strongHyper,Ankmy1,NM_172850,T:ExtGene;T:Gene;T:Intron;T:LTR;
chr1,94799324,94799395,0.268,strongHyper,Ankmy1,NM_172850,T:1stIntron;T:ExtGene;T:FpUTR;T:FpUTR_woCGI;T:Gene;T:Intron;T:Prom;T:Prom_woCGI;T:TSSdn1k;
chr1,94847326,94847923,-0.172,strongHypo,9430060I03Rik,NR_015525,T:ExtGene;T:Prom;T:Prom_woCGI;T:TSSup1k;T:TSSup1k_woCGI;
chr1,94965962,94966177,0.226,strongHyper,Kif1a,NM_001110315,T:Center30ct;T:ExtGene;T:Gene;T:Intron;
