#chrom	start	end	Meth Dif_24mo-4mo	class_24mo_v_4mo	Gene name	name	features
chr1	183699619	183699711	0.159	strongHyper	Lbr	NM_133815	T:Other;
chr1	92980997	92981077	0.16	strongHyper	Lrrfip1	NM_001111311	T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1	135123872	135124065	0.16	strongHyper	Plekha6	NM_001160268	T:Other;
chr1	186922451	186922680	0.16	strongHyper	Mark1	NM_145515	T:Other;
chr1	62711753	62712353	0.161	strongHyper	Pard3b	NM_001081050	T:Other;
chr1	75511919	75512012	0.161	strongHyper	Inha	NM_010564	T:Other;
chr1	135142456	135142783	0.161	strongHyper	Plekha6	NM_001160268	T:1stExon;T:1stIntron;T:Exon;T:ExtGene;T:FpUTR;T:FpUTR_woCGI;T:Gene;T:Intron;T:Prom;T:Prom_woCGI;T:TSSdn1k;T:TSSup1k;T:TSSup1k_woCGI;
chr1	152872344	152872452	0.161	strongHyper	Hmcn1	NM_001024720	T:Other;
chr1	182701644	182701994	0.162	strongHyper	Acbd3	NM_133225	T:SimpleRepeat;
chr1	37671187	37671437	0.163	strongHyper	2010300C02Rik	NM_028096	T:Exon;T:ExtGene;T:Gene;T:Intron;
chr1	58767509	58767729	0.163	strongHyper	Cflar	NM_009805	T:CGI_shore;
chr1	91889336	91889537	0.163	strongHyper	Asb18	NM_139152	T:CGI;T:CGI_shore;T:CGI_wiGene;T:CGI_wiGeneExt2k;T:Center30ct;T:Exon;T:ExtGene;T:Gene;T:Intron;
chr1	122989743	122989968	0.163	strongHyper	B230209K01Rik	NR_038008	T:1stIntron;T:ExtGene;T:FpUTR;T:FpUTR_woCGI;T:Gene;T:Intron;T:LINE;T:LTR;
chr1	162009493	162009740	0.163	strongHyper	4930523C07Rik	NM_001162896	T:ExtGene;T:TTSdn1k;T:TTSdn1k_woCGI;
chr1	37144464	37145058	0.164	strongHyper	Cnga3	NM_009918	T:SimpleRepeat;T:SINE;
chr1	39989728	39989797	0.164	strongHyper	Map4k4	NM_001252200	T:ExtGene;T:Gene;T:Intron;
chr1	35830344	35830620	0.165	strongHyper	Hs6st1	NM_015818	T:LTR;
chr1	88389151	88389469	0.165	strongHyper	Ptma	NM_008972	T:Other;
chr1	90101904	90101959	0.165	strongHyper	Dnajb3	NM_008299	T:CGI;T:CGI_wiGene;T:CGI_wiGeneExt2k;T:CGI_wiProm;T:CGI_wiTSSup1k;T:1stExon;T:Center30ct;T:Exon;T:ExtGene;T:Gene;T:Prom;T:Prom_wiCGI;T:TSSdn1k;
chr1	59540755	59540929	0.166	strongHyper	Fzd7	NM_008057	T:CGI;T:CGI_shore;T:CGI_wiGene;T:CGI_wiGeneExt2k;T:CGI_wiProm;T:CGI_wiTSSup1k;T:1stExon;T:Center30ct;T:Exon;T:ExtGene;T:Gene;
chr1	138015637	138015913	0.167	strongHyper	Cacna1s	NM_001081023	T:Exon;T:ExtGene;T:Gene;T:TpUTR;T:TpUTR_woCGI;T:TTSup1k;
chr1	162761279	162761750	0.167	strongHyper	Rabgap1l	NM_013862	T:Other;
chr1	163941773	163942367	0.167	strongHyper	2810442N19Rik	NR_040562	T:Center30ct;T:Exon;T:ExtGene;T:FpUTR;T:FpUTR_woCGI;T:Gene;T:Intron;
chr1	92964285	92964623	0.168	strongHyper	Lrrfip1	NM_001111311	T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:DNA;
chr1	119821435	119821511	0.168	strongHyper	Tsn	NM_011650	T:LINE;
chr1	186489306	186489427	0.168	strongHyper	4930488B22Rik	NR_040627	T:Other;
chr1	154909967	154910032	0.169	strongHyper	Nmnat2	NM_175460	T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1	181251568	181251628	0.169	strongHyper	Smyd3	NM_027188	T:ExtGene;T:Gene;T:Intron;
chr1	169568545	169568741	0.17	strongHyper	Rxrg	NM_001159731	T:ExtGene;T:Gene;T:Intron;T:SimpleRepeat;
chr1	172965893	172965962	0.17	strongHyper	Fcgr4	NM_144559	T:LINE;
chr1	193152046	193152150	0.17	strongHyper	Tmem206	NM_025864	T:CGI_shore;T:1stIntron;T:Exon;T:ExtGene;T:Gene;T:Intron;
chr1	61047244	61047355	0.171	strongHyper	Icos	NM_017480	T:1stIntron;T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1	75440749	75441240	0.171	strongHyper	Gmppa	NM_133708	T:ExtGene;T:TTSdn1k;T:TTSdn1k_woCGI;
chr1	89053497	89053720	0.171	strongHyper	Ecel1	NM_021306	T:CGI_shore;
chr1	77020327	77020746	0.172	strongHyper	Epha4	NM_007936	T:Other;
chr1	89504027	89504136	0.172	strongHyper	Neu2	NM_015750	T:LTR;
chr1	36811448	36811700	0.173	strongHyper	4933424G06Rik	NR_040290	T:ExtGene;T:FpUTR;T:FpUTR_woCGI;T:Gene;T:Intron;T:LTR;
chr1	13639766	13639873	0.174	strongHyper	Lactb2	NM_145381	T:ExtGene;T:Gene;T:Intron;
chr1	137819595	137819946	0.174	strongHyper	Pkp1	NM_019645	T:Other;
chr1	90596726	90596984	0.175	strongHyper	Arl4c	NM_177305	T:CGI_shore;T:1stExon;T:Center30ct;T:Exon;T:ExtGene;T:Gene;T:TpUTR;T:TpUTR_wiCGI;
chr1	96157492	96157561	0.175	strongHyper	Pdcd1	NM_008798	T:LINE;
chr1	107927306	107927403	0.175	strongHyper	Zcchc2	NM_001122675	T:Exon;T:ExtGene;T:Gene;
chr1	179611330	179611584	0.175	strongHyper	2310043L19Rik	NR_037994	T:Other;
chr1	182193899	182193968	0.176	strongHyper	Psen2	NM_001128605	T:SINE;
chr1	182627456	182627541	0.176	strongHyper	Mixl1	NM_013729	T:CGI;T:CGI_shore;T:CGI_wiGene;T:CGI_wiGeneExt2k;T:CGI_wiProm;T:CGI_wiTSSup1k;T:ExtGene;T:Prom;T:Prom_wiCGI;T:TSSup1k;T:TSSup1k_wiCGI;
chr1	22392042	22392115	0.178	strongHyper	Rims1	NM_001012623	T:ExtGene;T:Gene;T:Intron;T:LINE;T:SINE;
chr1	37754634	37754763	0.178	strongHyper	2010300C02Rik	NM_028096	T:1stIntron;T:ExtGene;T:FpUTR;T:FpUTR_wiCGI;T:Gene;T:Intron;
chr1	42531212	42531376	0.179	strongHyper	2610017I09Rik	NR_027826	T:SINE;
chr1	156897984	156898205	0.179	strongHyper	Ier5	NM_010500	T:Other;
chr1	172906023	172906145	0.179	strongHyper	Fcgr2b	NM_001077189	T:1stExon;T:1stIntron;T:Exon;T:ExtGene;T:FpUTR;T:FpUTR_woCGI;T:Gene;T:Intron;T:Prom;T:Prom_woCGI;T:TSSdn1k;
chr1	38696219	38696424	0.18	strongHyper	Aff3	NM_010678	T:1stIntron;T:ExtGene;T:FpUTR;T:FpUTR_wiCGI;T:Gene;T:Intron;T:LINE;
chr1	94596412	94596628	0.18	strongHyper	Otos	NM_153114	T:Other;
chr1	134751346	134751796	0.18	strongHyper	Lrrn2	NM_010732	T:DNA;T:LTR;
chr1	173318906	173319934	0.18	strongHyper	Arhgap30	NM_001005508	T:1stExon;T:1stIntron;T:Exon;T:ExtGene;T:FpUTR;T:FpUTR_woCGI;T:Gene;T:Intron;T:Prom;T:Prom_woCGI;T:TSSdn1k;T:TSSup1k;T:TSSup1k_woCGI;T:TTSdn1k;T:TTSdn1k_woCGI;
chr1	80236130	80236286	0.181	strongHyper	Fam124b	NM_173425	T:Other;
chr1	137947145	137947327	0.181	strongHyper	Cacna1s	NM_001081023	T:CGI_shore;
chr1	158241238	158241428	0.181	strongHyper	Nphs2	NM_130456	T:1stIntron;T:ExtGene;T:Gene;T:Intron;T:Prom;T:Prom_woCGI;T:TSSdn1k;
chr1	168451287	168451390	0.183	strongHyper	Gm4846	NM_001164306	T:LTR;
chr1	182262863	182262948	0.183	strongHyper	Itpkb	NM_001081175	T:CGI;T:CGI_wiGene;T:CGI_wiGeneExt2k;T:CGI_wiProm;T:CGI_wiTSSup1k;T:Exon;T:ExtGene;T:Gene;
chr1	16934313	16934590	0.184	strongHyper	Jph1	NM_020604	T:LTR;
chr1	32748600	32748877	0.184	strongHyper	Khdrbs2	NM_133235	T:LINE;
chr1	56696431	56696762	0.184	strongHyper	Hsfy2	NM_027661	T:Other;
chr1	137032170	137032260	0.184	strongHyper	Ptpn7	NM_177081	T:ExtGene;T:Gene;T:Intron;
chr1	187399977	187400613	0.184	strongHyper	5033404E19Rik	NR_033600	T:Other;
chr1	191050341	191050593	0.184	strongHyper	Kcnk2	NM_001159850	T:ExtGene;T:Gene;T:Intron;T:TpUTR;T:TpUTR_wiCGI;
chr1	37797076	37797302	0.185	strongHyper	Tsga10	NM_207228	T:LTR;
chr1	168951007	168951318	0.185	strongHyper	Fam78b	NM_001160261	T:1stIntron;T:ExtGene;T:Gene;T:Intron;T:LTR;
chr1	179275639	179275709	0.185	strongHyper	Akt3	NM_011785	T:Other;
chr1	72476043	72476094	0.186	strongHyper	04-Mar	NM_001045533	T:ExtGene;T:Gene;T:Intron;
chr1	189821407	189821557	0.186	strongHyper	Esrrg	NM_001243792	T:Center30ct;T:ExtGene;T:FpUTR;T:FpUTR_wiCGI;T:Gene;T:Intron;T:Prom;T:Prom_woCGI;T:TSSup1k;T:TSSup1k_woCGI;
chr1	43592548	43592738	0.187	strongHyper	Nck2	NM_010879	T:ExtGene;T:Gene;T:Intron;T:LINE;
chr1	8926606	8926695	0.188	strongHyper	Sntg1	NM_027671	T:Center30ct;T:ExtGene;T:FpUTR;T:FpUTR_wiCGI;T:Gene;T:Intron;T:LTR;
chr1	16049942	16050221	0.188	strongHyper	4930444P10Rik	NM_001243238	T:Other;
chr1	82255057	82255120	0.188	strongHyper	Irs1	NM_010570	T:1stIntron;T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:TpUTR;T:TpUTR_wiCGI;
chr1	75585696	75586073	0.189	strongHyper	Slc4a3	NM_009208	T:Other;
chr1	155531907	155532096	0.189	strongHyper	Rgs8	NM_026380	T:ExtGene;T:Gene;T:Intron;
chr1	166949118	166949245	0.189	strongHyper	4930568G15Rik	NR_040480	T:LTR;
chr1	180624673	180624854	0.189	strongHyper	Kif26b	NM_001161665	T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:SINE;
chr1	75677405	75677791	0.19	strongHyper	Slc4a3	NM_009208	T:Other;
chr1	182765685	182766070	0.19	strongHyper	BC031781	NM_145943	T:LTR;
chr1	183853662	183853734	0.19	strongHyper	Enah	NM_001083120	T:CGI;T:CGI_wiGene;T:CGI_wiGeneExt2k;T:Exon;T:ExtGene;T:Gene;T:Intron;
chr1	130722082	130722235	0.192	strongHyper	Cxcr4	NM_009911	T:Other;
chr1	39793719	39793835	0.193	strongHyper	Rfx8	NM_001145660	T:LINE;
chr1	57410161	57410533	0.193	strongHyper	4930558J18Rik	NR_037999	T:Other;
chr1	195815408	195815550	0.193	strongHyper	4930503O07Rik	NR_040477	T:Other;
chr1	167534429	167534603	0.195	strongHyper	Mpzl1	NM_001001880	T:ExtGene;T:Gene;T:Intron;
chr1	78140872	78140998	0.196	strongHyper	Pax3	NM_001159520	T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1	113569428	113569498	0.196	strongHyper	Dsel	NM_001081316	T:LTR;
chr1	178762903	178763024	0.196	strongHyper	Sdccag8	NM_029756	T:ExtGene;T:Gene;T:Intron;
chr1	134701427	134701837	0.197	strongHyper	Nfasc	NM_001160317	T:LTR;
chr1	36838714	36838795	0.198	strongHyper	Zap70	NM_009539	T:ExtGene;T:Gene;T:Intron;T:TTSup1k;
chr1	174547003	174547089	0.198	strongHyper	Dusp23	NM_026725	T:LINE;
chr1	190483308	190483562	0.199	strongHyper	Ush2a	NM_021408	T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1	39744354	39744454	0.2	strongHyper	Rfx8	NM_001145660	T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1	188399469	188399519	0.2	strongHyper	Tgfb2	NM_009367	T:Other;
chr1	63307827	63308000	0.201	strongHyper	Zdbf2	NM_028673	T:Other;
chr1	25162571	25163091	0.202	strongHyper	Bai3	NM_175642	T:ExtGene;T:Gene;T:Intron;T:SimpleRepeat;
chr1	87793711	87794400	0.202	strongHyper	Itm2c	NM_022417	T:1stIntron;T:ExtGene;T:Gene;T:Intron;T:SimpleRepeat;
chr1	141775781	141776009	0.202	strongHyper	Cfhr2	NM_001025575	T:LowComplexity;T:LTR;
chr1	94770551	94770602	0.203	strongHyper	Ankmy1	NM_172850	T:ExtGene;T:Gene;T:Intron;T:LTR;
chr1	172867262	172867364	0.204	strongHyper	Fcrla	NM_001160215	T:LTR;
chr1	93434844	93435050	0.206	strongHyper	Asb1	NM_001039126	T:CGI_shore;T:LTR;T:SimpleRepeat;T:SINE;
chr1	153554072	153554510	0.206	strongHyper	Fam129a	NM_022018	T:ExtGene;T:Gene;T:Intron;
chr1	193226965	193227068	0.206	strongHyper	Ppp2r5a	NM_144880	T:SINE;
chr1	62751638	62751747	0.209	strongHyper	Nrp2	NM_001077406	T:CGI_shore;T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1	145764917	145764997	0.209	strongHyper	Rgs2	NM_009061	T:Other;
chr1	55772536	55772708	0.21	strongHyper	Plcl1	NM_001114663	T:ExtGene;T:Gene;T:Intron;T:SimpleRepeat;
chr1	33586371	33586689	0.212	strongHyper	Prim2	NM_008922	T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:LINE;
chr1	190065831	190065925	0.212	strongHyper	Ush2a	NM_021408	T:Other;
chr1	69806251	69806320	0.214	strongHyper	Spag16	NM_029160	T:Other;
chr1	78813292	78813369	0.216	strongHyper	Kcne4	NM_021342	T:ExtGene;T:Prom;T:Prom_woCGI;T:TSSup1k;T:TSSup1k_woCGI;
chr1	43417327	43417400	0.217	strongHyper	Nck2	NM_010879	T:Other;
chr1	155261738	155262029	0.217	strongHyper	E330020D12Rik	NR_033736	T:ExtGene;T:Prom;T:Prom_woCGI;T:TSSup1k;T:TSSup1k_woCGI;
chr1	64662315	64662456	0.218	strongHyper	Mettl21a	NM_025964	T:CGI_shore;T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1	62842376	62842626	0.219	strongHyper	Nrp2	NM_001077406	T:Exon;T:ExtGene;T:Gene;T:TpUTR;T:TpUTR_woCGI;
chr1	169164952	169165056	0.219	strongHyper	Uck2	NM_030724	T:Exon;T:ExtGene;T:Gene;T:Intron;
chr1	167692881	167693237	0.22	strongHyper	Creg1	NM_011804	T:CGI_shore;T:ExtGene;T:Prom;T:Prom_wiCGI;T:TSSup1k;T:TSSup1k_wiCGI;T:LINE;
chr1	93469231	93469289	0.221	strongHyper	Asb1	NM_023046	T:LTR;
chr1	158590991	158591048	0.221	strongHyper	Tor3a	NM_023141	T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:LTR;
chr1	89159789	89159909	0.223	strongHyper	Efhd1	NM_028889	T:CGI_shore;T:SINE;
chr1	9847704	9847889	0.224	strongHyper	Sgk3	NM_001037759	T:Center30ct;T:ExtGene;T:FpUTR;T:FpUTR_wiCGI;T:Gene;T:Intron;T:LTR;
chr1	75461198	75461336	0.226	strongHyper	Accn4	NM_183022	T:1stIntron;T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1	94965962	94966177	0.226	strongHyper	Kif1a	NM_001110315	T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1	56853820	56853907	0.227	strongHyper	Satb2	NM_139146	T:Exon;T:ExtGene;T:Gene;
chr1	192931366	192931528	0.227	strongHyper	Batf3	NM_030060	T:ExtGene;T:Gene;T:Intron;T:LINE;
chr1	155464354	155464555	0.228	strongHyper	Rgs8	NM_026380	T:LTR;
chr1	172791902	172792120	0.228	strongHyper	Atf6	NM_001081304	T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1	174074927	174074992	0.228	strongHyper	Dcaf8	NM_153555	T:Other;
chr1	40036162	40036242	0.229	strongHyper	Map4k4	NM_001252200	T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1	40571850	40571938	0.229	strongHyper	Il18rap	NM_010553	T:ExtGene;T:Prom;T:Prom_woCGI;T:TSSup1k;T:TSSup1k_woCGI;
chr1	136446467	136446606	0.231	strongHyper	4931440L10Rik	NM_001145300	T:Other;
chr1	36170729	36170842	0.233	strongHyper	Hs6st1	NM_015818	T:LTR;
chr1	154596811	154596897	0.233	strongHyper	Apobec4	NM_001081197	T:ExtGene;T:Prom;T:Prom_woCGI;T:TSSup1k;T:TSSup1k_woCGI;
chr1	42318543	42318696	0.234	strongHyper	2610017I09Rik	NR_027826	T:Other;
chr1	157273037	157273129	0.234	strongHyper	Xpr1	NM_011273	T:LINE;
chr1	174265961	174266236	0.234	strongHyper	Kcnj10	NM_001039484	T:Other;
chr1	63295332	63295428	0.235	strongHyper	Zdbf2	NM_028673	T:CGI_shore;
chr1	153764841	153765183	0.235	strongHyper	1700025G04Rik	NM_197990	T:ExtGene;T:Gene;T:Intron;T:SimpleRepeat;
chr1	32450316	32450405	0.236	strongHyper	Khdrbs2	NM_133235	T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:LTR;
chr1	88320581	88320785	0.237	strongHyper	1700019O17Rik	NM_027966	T:LTR;
chr1	39560153	39560214	0.238	strongHyper	Tbc1d8	NM_018775	T:Other;
chr1	40364414	40364466	0.238	strongHyper	Il1r1	NM_001123382	T:ExtGene;T:Gene;T:Intron;T:LTR;
chr1	59127708	59127920	0.238	strongHyper	Als2cr11	NM_175200	T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:LINE;
chr1	183654952	183655147	0.238	strongHyper	Lbr	NM_133815	T:Other;
chr1	92976874	92977257	0.239	strongHyper	Lrrfip1	NM_001111311	T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1	71999619	71999954	0.241	strongHyper	4933417E11Rik	NR_040454	T:LINE;
chr1	92825099	92825450	0.242	strongHyper	Mlph	NM_053015	T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1	52398918	52399233	0.243	strongHyper	Gls	NM_001113383	T:LTR;
chr1	77632560	77632623	0.243	strongHyper	Epha4	NM_007936	T:Other;
chr1	135272604	135272729	0.243	strongHyper	Etnk2	NM_175443	T:ExtGene;T:Gene;T:Intron;
chr1	168226710	168226908	0.243	strongHyper	Ildr2	NM_001164528	T:ExtGene;T:Gene;T:Intron;
chr1	71983456	71983532	0.244	strongHyper	4933417E11Rik	NR_040454	T:Other;
chr1	196768226	196768446	0.247	strongHyper	Cd34	NM_001111059	T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1	132645245	132645390	0.249	strongHyper	AA986860	NM_177604	T:LTR;
chr1	186573320	186573393	0.251	strongHyper	Hlx	NM_008250	T:SINE;
chr1	44219024	44219093	0.252	strongHyper	Ercc5	NM_011729	T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:LINE;
chr1	168048180	168048314	0.256	strongHyper	Dusp27	NM_001033344	T:ExtGene;T:Gene;T:Intron;
chr1	196765860	196766553	0.256	strongHyper	Cd34	NM_001111059	T:1stIntron;T:ExtGene;T:Gene;T:Intron;T:Prom;T:Prom_woCGI;T:TSSdn1k;
chr1	130504852	130504957	0.26	strongHyper	Cxcr4	NM_009911	T:SINE;
chr1	121225718	121225835	0.262	strongHyper	Inhbb	NM_008381	T:Other;
chr1	90453068	90453125	0.265	strongHyper	Gm19589	NR_037971	T:Center30ct;T:Exon;T:ExtGene;T:FpUTR;T:FpUTR_woCGI;T:Gene;
chr1	20902704	20902907	0.266	strongHyper	Paqr8	NM_028829	T:1stIntron;T:Center30ct;T:ExtGene;T:FpUTR;T:FpUTR_wiCGI;T:Gene;T:Intron;
chr1	66429122	66429215	0.267	strongHyper	Mtap2	NM_001039934	T:ExtGene;T:Gene;T:Intron;T:DNA;
chr1	189754143	189754255	0.267	strongHyper	Esrrg	NM_001243792	T:Center30ct;T:ExtGene;T:FpUTR;T:FpUTR_wiCGI;T:Gene;T:Intron;
chr1	94799324	94799395	0.268	strongHyper	Ankmy1	NM_172850	T:1stIntron;T:ExtGene;T:FpUTR;T:FpUTR_woCGI;T:Gene;T:Intron;T:Prom;T:Prom_woCGI;T:TSSdn1k;
chr1	127539510	127539825	0.268	strongHyper	Gpr39	NM_027677	T:SINE;
chr1	172469151	172469267	0.275	strongHyper	Nos1ap	NM_027528	T:1stIntron;T:ExtGene;T:FpUTR;T:FpUTR_woCGI;T:Gene;T:Intron;T:LINE;
chr1	186915993	186916044	0.275	strongHyper	Mark1	NM_145515	T:Other;
chr1	175074199	175074251	0.283	strongHyper	Olfr1408	NM_146764	T:LINE;
chr1	51596875	51597003	0.284	strongHyper	Obfc2a	NM_028696	T:Other;
chr1	89324723	89324796	0.285	strongHyper	Gigyf2	NM_001110212	T:ExtGene;T:Gene;T:Intron;T:SINE;
chr1	33664301	33664490	0.287	strongHyper	Prim2	NM_008922	T:ExtGene;T:Gene;T:Intron;
chr1	183229579	183229635	0.29	strongHyper	Cnih3	NM_001160211	T:LINE;
chr1	178916500	178916724	0.291	strongHyper	Sdccag8	NM_029756	T:ExtGene;T:Gene;T:Intron;
chr1	135216775	135216852	0.301	strongHyper	Golt1a	NM_026680	T:Exon;T:ExtGene;T:Gene;
chr1	55084673	55084758	0.302	strongHyper	Sf3b1	NM_031179	T:CGI_shore;T:ExtGene;T:Prom;T:Prom_wiCGI;T:TSSup1k;T:TSSup1k_wiCGI;T:SINE;
chr1	122910000	122910403	0.306	strongHyper	B230209K01Rik	NR_038008	T:SINE;
chr1	36776428	36776549	0.307	strongHyper	4933424G06Rik	NR_040290	T:ExtGene;T:FpUTR;T:FpUTR_woCGI;T:Gene;T:Intron;
chr1	73235557	73235846	0.309	strongHyper	1700027A15Rik	NR_038002	T:LowComplexity;
chr1	155699922	155699975	0.314	strongHyper	5830403L16Rik	NM_178243	T:LTR;
chr1	190567121	190567408	0.315	strongHyper	Ush2a	NM_021408	T:Exon;T:ExtGene;T:Gene;T:Intron;T:SimpleRepeat;
chr1	21152913	21153085	0.319	strongHyper	Tmem14a	NM_029398	T:Other;
chr1	42867207	42867299	0.336	strongHyper	Mrps9	NM_023514	T:Other;
chr1	36424817	36425001	0.342	strongHyper	4632411B12Rik	NM_172652	T:CGI_shore;T:1stIntron;T:Exon;T:ExtGene;T:FpUTR;T:FpUTR_wiCGI;T:Gene;T:Intron;
chr1	173390258	173390340	0.351	strongHyper	F11r	NM_172647	T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1	75220433	75220533	0.376	strongHyper	A630095N17Rik	NM_001243090	T:1stIntron;T:ExtGene;T:Gene;T:Intron;T:Prom;T:Prom_woCGI;T:TSSup1k;T:TSSup1k_woCGI;
chr1	40297437	40297606	0.378	strongHyper	Il1r1	NM_008362	T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1	42300828	42300887	0.39	strongHyper	2610017I09Rik	NR_027826	T:Other;
chr1	127023967	127024076	0.413	strongHyper	Actr3	NM_001205385	T:Other;
chr1	158215774	158215908	0.42	strongHyper	Tdrd5	NM_001134741	T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1	40449497	40449657	0.423	strongHyper	Il1rl2	NM_133193	T:Other;
chr10	93266138	93266728	0.15	strongHyper	Usp44	NM_183199	T:LTR;T:SINE;
chr10	75952095	75952256	0.151	strongHyper	Mcm3ap	NM_019434	T:Center30ct;T:Exon;T:ExtGene;T:Gene;
chr10	80692116	80692432	0.151	strongHyper	Atcay	NM_178662	T:1stIntron;T:ExtGene;T:FpUTR;T:FpUTR_woCGI;T:Gene;T:Intron;
chr10	25607469	25607572	0.152	strongHyper	4930401C15Rik	NR_045349	T:LTR;
chr10	79383676	79383829	0.152	strongHyper	Kiss1r	NM_053244	T:CGI;T:CGI_shore;T:CGI_wiGene;T:CGI_wiGeneExt2k;T:Exon;T:ExtGene;T:Gene;T:Intron;
chr10	126578448	126578791	0.152	strongHyper	Os9	NM_001171026	T:LTR;
chr10	81043189	81043282	0.153	strongHyper	Tle2	NM_001252401	T:Exon;T:ExtGene;T:Gene;T:Intron;
chr10	22623352	22623944	0.154	strongHyper	Tcf21	NM_011545	T:LINE;T:LTR;T:SimpleRepeat;
chr10	68614069	68614165	0.154	strongHyper	Rhobtb1	NM_001252636	T:Other;
chr10	84349531	84349721	0.154	strongHyper	Rfx4	NM_001024918	T:ExtGene;T:Gene;T:Intron;T:LINE;
chr10	6375267	6375554	0.155	strongHyper	Mthfd1l	NM_001170786	T:CGI_shore;
chr10	92719783	92720274	0.155	strongHyper	Elk3	NM_013508	T:ExtGene;T:Gene;T:Intron;
chr10	82397953	82398103	0.156	strongHyper	Txnrd1	NM_001042514	T:Other;
chr10	92789622	92789678	0.157	strongHyper	Gm17745	NR_038014	T:Other;
chr10	18210643	18210780	0.158	strongHyper	Nhsl1	NM_001163592	T:ExtGene;T:Gene;T:Intron;T:SimpleRepeat;
